cell_id,recipe_id,partition,discharge_specific_capacity_cycle30_mah_g,cell_capacity_mah,active_mass_mg,electrode_thickness_um,porosity_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,active_material_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,conductive_additive_fraction_pct,mixing_solids_pct
ASC-83,protocol-95a0b3eea94d,PROSPECTIVE_MODEL_VALIDATION,137.1352819818618,6.83210217980171,18.36586607473578,123.0,55.44,0.4,200.0,100.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-84,protocol-95a0b3eea94d,PROSPECTIVE_MODEL_VALIDATION,132.81013904061786,6.825018610926852,18.346824222921647,125.0,56.26,0.4,200.0,100.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-97,protocol-e8f5a9ba8348,PROSPECTIVE_MODEL_VALIDATION,,12.112944281746127,32.561678176736905,196.0,53.97,0.1,300.0,60.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-98,protocol-e8f5a9ba8348,PROSPECTIVE_MODEL_VALIDATION,,11.531919753461143,30.999784283497696,187.0,54.08,0.1,300.0,60.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-99,protocol-e8f5a9ba8348,PROSPECTIVE_MODEL_VALIDATION,,11.78346086021867,31.67597005435126,190.0,53.61,0.1,300.0,60.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-94,protocol-8987788b5670,PROSPECTIVE_MODEL_VALIDATION,,10.993409215050669,29.55217530927599,188.0,54.3,0.1,300.0,80.0,0.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-95,protocol-8987788b5670,PROSPECTIVE_MODEL_VALIDATION,,8.346913345362351,22.437939100436427,151.0,56.39,0.1,300.0,80.0,0.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-96,protocol-8987788b5670,PROSPECTIVE_MODEL_VALIDATION,,10.851695915468964,29.171225579217648,185.0,54.12,0.1,300.0,80.0,0.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-106,protocol-7cb073ec1866,PROSPECTIVE_MODEL_VALIDATION,,10.756039438251316,28.914084511428264,120.0,27.79,0.1,300.0,80.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-107,protocol-7cb073ec1866,PROSPECTIVE_MODEL_VALIDATION,,10.571812148795102,28.41884986235242,124.0,31.63,0.1,300.0,80.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
ASC-108,protocol-7cb073ec1866,PROSPECTIVE_MODEL_VALIDATION,,9.994330452999655,26.866479712364665,110.0,26.4,0.1,300.0,80.0,1.0,95.23743251458585,1.4988702275895598,2.2602752813224227,1.003421976502164,49.5
